split,seed,model,n,positives,prevalence,average_precision,roc_auc,precision_at_20,brier_score,validation_ap,seconds,trainable_parameters,checkpoint_reload_verified
random,404,fusion_30,229,12,0.05240174672489083,0.6715895341111356,0.9228110599078341,0.45,0.031523751979582196,0.536583237443873,4.477456790977158,30977.0,
random,404,fusion_60,229,12,0.05240174672489083,0.7961182336182338,0.9650537634408601,0.45,0.02166091740817115,0.5621753457986975,8.94831449992489,30977.0,
random,404,selected_blend,229,12,0.05240174672489083,0.6819713633932939,0.9141705069124424,0.4,0.02550490829694323,0.6631639640411571,,,
random,505,descriptor_mlp,229,12,0.05240174672489083,0.5263147737109398,0.8164362519201228,0.4,0.03546835388123725,0.5641288051263078,0.526778707979247,12929.0,
random,505,fusion_30,229,12,0.05240174672489083,0.5444307286757077,0.814900153609831,0.4,0.03583148803664446,0.5563053266178266,4.501868500025012,30977.0,
random,505,fusion_60,229,12,0.05240174672489083,0.7546981598665832,0.8548387096774195,0.45,0.026097810468208377,0.677193546930389,8.988100083079189,30977.0,
random,505,selected_blend,229,12,0.05240174672489083,0.7958228991510727,0.8832565284178187,0.45,0.023504080381438988,0.7473687541892411,,,
scaffold,101,descriptor_mlp,229,12,0.05240174672489083,0.7169360142535993,0.9231950844854071,0.45,0.031724593417927965,0.5305228659050315,0.5263789999298751,12929.0,
scaffold,101,fusion_30,229,12,0.05240174672489083,0.7474034274864537,0.9228110599078341,0.45,0.029999698514864063,0.6049729819625292,4.4793705840129405,30977.0,
scaffold,101,fusion_60,229,12,0.05240174672489083,0.7385968493980665,0.9642857142857142,0.4,0.03612707345159951,0.677569936431392,8.902057375060394,30977.0,
scaffold,101,selected_blend,229,12,0.05240174672489083,0.794142933593932,0.9738863287250386,0.45,0.022850637554585156,0.7378646594015654,,,
scaffold,202,descriptor_mlp,229,12,0.05240174672489083,0.5906481085859632,0.8682795698924731,0.4,0.031420901686426736,0.3200506238925326,0.5300127080408856,12929.0,
scaffold,202,fusion_30,229,12,0.05240174672489083,0.6707127167766913,0.8713517665130569,0.4,0.032262648091601266,0.3541442518663944,4.448319000075571,30977.0,
scaffold,202,fusion_60,229,12,0.05240174672489083,0.626273189176415,0.8997695852534562,0.4,0.03414906516328499,0.43709902919395827,8.913815624895506,30977.0,
scaffold,202,selected_blend,229,12,0.05240174672489083,0.760411622276029,0.9155145929339478,0.4,0.02906148970777257,0.47453125296315257,,,
scaffold,303,descriptor_mlp,229,12,0.05240174672489083,0.5904901431946155,0.9212749615975423,0.5,0.03166194559517535,0.7598919432252768,0.5349968340015039,12929.0,
scaffold,303,fusion_30,229,12,0.05240174672489083,0.5707556740644976,0.9158986175115208,0.5,0.032274339182495296,0.7985073072845678,4.4619932499481365,30977.0,
scaffold,303,fusion_60,229,12,0.05240174672489083,0.7645387289282639,0.962557603686636,0.5,0.027258317398071757,0.8555235574927356,8.900204542092979,30977.0,
scaffold,303,selected_blend,229,12,0.05240174672489083,0.8141932141932143,0.9101382488479263,0.5,0.021151336397377648,0.8683261183261185,,,
scaffold,404,descriptor_mlp,229,12,0.05240174672489083,0.3412298757886993,0.8897849462365592,0.35,0.04581604650194803,0.3925634084079595,0.5248505420750007,12929.0,
scaffold,404,fusion_30,229,12,0.05240174672489083,0.5156822160682455,0.9270353302611367,0.5,0.02917346613582276,0.3198097953148731,4.466598832979798,30977.0,
scaffold,404,fusion_60,229,12,0.05240174672489083,0.6980161813495147,0.9608294930875576,0.5,0.03301943520164993,0.40487699823535483,9.004623666987754,30977.0,
scaffold,404,selected_blend,229,12,0.05240174672489083,0.8091034615157423,0.9650537634408601,0.5,0.02838614432333034,0.40893020623628534,,,
scaffold,505,descriptor_mlp,229,12,0.05240174672489083,0.38087884042400266,0.7346390168970814,0.25,0.04126996487135396,0.7121170891447609,0.5236916249850765,12929.0,
scaffold,505,fusion_30,229,12,0.05240174672489083,0.3943592700603393,0.7127496159754224,0.25,0.04048127622467722,0.7256658900457458,4.492352959001437,30977.0,
