split,seed,model,baseline,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
random,202,chemprop_forest,chemprop,0.03306761209874287,0.056451612903225645,0.0,-0.0008609078128355742
random,202,kernel_multiscale,kernel_r2,-0.01061052379172156,0.008832565284178084,0.0,0.0006208339654384457
random,202,kernel_fusion_forest,selected_blend,0.03522158660660735,0.021121351766512975,0.0,-0.0025909743279506764
random,202,kernel_chemprop_forest,chemprop_forest,-0.009735744938763835,0.00844854070660539,0.0,0.0002656011286284836
random,303,kernel_r2,forest,-0.004315681161390139,0.003072196620583778,0.0,-0.0013310522962515225
random,303,kernel_r2,chemprop,-0.025646684362385708,-0.06912442396313367,-0.09999999999999998,-0.0027371094153003234
random,303,kernel_multiscale,forest,0.051657092941476024,0.03686635944700456,0.09999999999999998,-0.004485663803339115
random,303,kernel_multiscale,chemprop,0.030326089740480455,-0.03533026113671289,0.0,-0.005891720922387916
random,303,kernel_fusion_forest,forest,0.07510342219799526,0.06490015360983103,0.09999999999999998,-0.0011746274450899208
random,303,kernel_fusion_forest,chemprop,0.053772418996999694,-0.007296466973886417,0.0,-0.0025806845641387216
random,303,kernel_chemprop_forest,forest,0.08051189265463443,0.07181259600614454,0.09999999999999998,-0.0027787559413280163
random,303,kernel_chemprop_forest,chemprop,0.05918088945363886,-0.00038402457757291675,0.0,-0.004184813060376817
random,303,chemprop_forest,forest,0.06056135117150474,0.0695084485407067,0.09999999999999998,-0.0007060987986428381
random,303,chemprop_forest,chemprop,0.03923034797050917,-0.0026881720430107503,0.0,-0.002112155917691639
random,303,kernel_multiscale,kernel_r2,0.05597277410286616,0.03379416282642078,0.09999999999999998,-0.0031546115070875923
random,303,kernel_fusion_forest,selected_blend,0.07510342219799526,0.06490015360983103,0.09999999999999998,-0.001174627445089945
random,303,kernel_chemprop_forest,chemprop_forest,0.01995054148312969,0.0023041474654378336,0.0,-0.0020726571426851782
random,404,kernel_r2,forest,0.10999681276605888,0.06586021505376338,0.09999999999999998,0.00046493405121390136
random,404,kernel_r2,chemprop,0.07673035025976205,0.05837173579109056,0.04999999999999999,0.0016151973629951015
random,404,kernel_multiscale,forest,0.09578929983886075,0.0643241167434716,0.09999999999999998,0.0002905601162390657
random,404,kernel_multiscale,chemprop,0.06252283733256392,0.056835637480798784,0.04999999999999999,0.0014408234280202659
random,404,kernel_fusion_forest,forest,0.07982656090463047,0.05241935483870974,0.04999999999999999,-0.003229308209589242
random,404,kernel_fusion_forest,chemprop,0.04656009839833364,0.04493087557603692,0.0,-0.002079044897808042
random,404,kernel_chemprop_forest,forest,0.048522679600749186,0.045122887864823324,0.0,-0.0016973447223481986
random,404,kernel_chemprop_forest,chemprop,0.015256217094452351,0.037634408602150504,-0.04999999999999999,-0.0005470814105669984
random,404,chemprop_forest,forest,0.025232843720586207,0.020929339477726572,0.0,-0.001855084035419001
random,404,chemprop_forest,chemprop,-0.008033618785710628,0.013440860215053752,-0.04999999999999999,-0.0007048207236378008
random,404,kernel_multiscale,kernel_r2,-0.01420751292719813,-0.001536098310291778,0.0,-0.00017437393497483564
random,404,kernel_fusion_forest,selected_blend,0.07982656090463047,0.05241935483870974,0.04999999999999999,-0.003229308209589273
