split,seed,model,baseline,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
scaffold,303,fusion_30,compact,0.1895529378473373,0.03533026113671278,0.15000000000000002,-0.0098598382334152
scaffold,303,fusion_60,compact,0.38333599271110363,0.081989247311828,0.15000000000000002,-0.014875860017838697
scaffold,303,selected_blend,compact,0.43299047797605406,0.029569892473118364,0.15000000000000002,-0.0209828410185328
scaffold,303,fusion_30,chemprop,-0.23902564981257113,-0.048387096774193616,0.04999999999999999,0.012522943202066199
scaffold,303,fusion_60,chemprop,-0.04524259494880478,-0.001728110599078403,0.04999999999999999,0.007506921417642701
scaffold,303,selected_blend,chemprop,0.004411890316145639,-0.054147465437788034,0.04999999999999999,0.0013999404169485995
scaffold,303,selected_blend,forest,0.05389157820139423,0.020353302611367252,0.04999999999999999,-0.0010608382751114004
scaffold,303,fusion_30,descriptor_mlp,-0.019734469130117893,-0.005376344086021612,0.0,0.0006123935873198968
scaffold,404,fusion_30,compact,0.2699963642874218,0.03840245775729656,0.3,-0.0178403705989623
scaffold,404,fusion_60,compact,0.452330329568691,0.07219662058371734,0.3,-0.013994401533135102
scaffold,404,selected_blend,compact,0.5634176097349186,0.07642089093701976,0.3,-0.0186276924114547
scaffold,404,fusion_30,chemprop,-0.22259258103008106,-0.026881720430107392,0.0,0.004217916051471898
scaffold,404,fusion_60,chemprop,-0.04025861574881184,0.00691244239631339,0.0,0.008063885117299097
scaffold,404,selected_blend,chemprop,0.07082866441741575,0.011136712749615807,0.0,0.003430594238979498
scaffold,404,selected_blend,forest,0.00934364530855758,0.019585253456220975,0.0,0.004393952183592398
scaffold,404,fusion_30,descriptor_mlp,0.1744523402795462,0.03725038402457759,0.15000000000000002,-0.016642580366125304
scaffold,505,fusion_30,compact,0.20333371664654218,0.14938556067588304,0.04999999999999999,-0.007091238267684201
scaffold,505,fusion_60,compact,0.2877550886341991,0.2876344086021504,0.09999999999999998,-0.008482180266242097
scaffold,505,selected_blend,compact,0.2877550886341991,0.2876344086021504,0.09999999999999998,-0.0084821802430212
scaffold,505,fusion_30,chemprop,-0.09704707541263974,-0.15437788018433185,0.0,0.004728321242209198
scaffold,505,fusion_60,chemprop,-0.012625703424982815,-0.016129032258064502,0.04999999999999999,0.003337379243651302
scaffold,505,selected_blend,chemprop,-0.012625703424982815,-0.016129032258064502,0.04999999999999999,0.0033373792668721994
scaffold,505,selected_blend,forest,-0.11064243487508085,-0.05990783410138245,-0.04999999999999999,0.006093286214405698
scaffold,505,fusion_30,descriptor_mlp,0.013480429636336666,-0.02188940092165903,0.0,-0.000788688646676701
