split,model,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_at_20_mean,precision_at_20_std,brier_score_mean,brier_score_std
random,dmpnn,0.5901311343786887,0.07755123665569053,0.8966973886328725,0.020623228236708997,0.43333333333333335,0.02886751345948128,0.035214863776359705,0.0024294033887339865
random,forest,0.749958345025651,0.05640887294738676,0.9248591909882231,0.02585923910119169,0.4666666666666666,0.05773502691896256,0.0328740592144989,0.0061276531322640194
random,logistic,0.6880068478083334,0.14135891258900468,0.901689708141321,0.03765203825451216,0.4666666666666666,0.02886751345948129,0.034154425512806764,0.007294778076869033
random,prior,0.052401746724890806,0.0,0.5,0.0,0.052401746724890806,0.0,0.049656166552075,0.0
scaffold,dmpnn,0.30517941251485337,0.39863110442144034,0.5892217101894521,0.26501044261080814,0.18333333333333335,0.23629078131263043,0.04364940288345529,0.011425199212833822
scaffold,forest,0.6556616164618153,0.26464260192039374,0.8540066564260113,0.16037754820817976,0.39999999999999997,0.17320508075688773,0.0357619542220619,0.01650852503432223
scaffold,logistic,0.626804100836698,0.268467711461571,0.8666154633896571,0.1637856194403256,0.3666666666666667,0.18929694486000914,0.03682999929211673,0.015116719813630197
scaffold,prior,0.052401746724890806,0.0,0.5,0.0,0.052401746724890806,0.0,0.049656166552075,0.0
